Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,FRS01,462.56250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
2,FRS02,462.58750,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
3,FRS03,462.61250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
4,FRS04,462.61250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
5,FRS05,462.66250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
6,FRS06,462.68750,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
7,FRS07,462.71250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
8,FRS08,467.56250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
9,FRS09,467.58750,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
10,FRS10,467.61250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
11,FRS11,467.63750,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
12,FRS12,467.66250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
13,FRS13,467.68750,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
14,FRS14,467.71250,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
15,FRS15,462.55000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
16,FRS16,462.57500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
17,FRS17,462.60000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
18,FRS18,462.62500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
19,FRS19,462.65000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
20,FRS20,462.67500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
21,FRS21,462.70000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
22,FRS22,462.72500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
23,MCSO-DIS,155.49000,,0.00000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
24,MCEMS1,155.14500,,0.00000,DTCS,88.5,88.5,114,NN,114,DTCS->DTCS,FM,5.0,,4.0W,,,,,
25,MCEMS2,155.56500,,0.00000,DTCS,88.5,88.5,115,NN,115,DTCS->DTCS,FM,5.0,,4.0W,,,,,
26,MHFD-DIS,155.58750,,0.00000,DTCS,88.5,88.5,125,NN,125,DTCS->DTCS,FM,5.0,,4.0W,,,,,
27,MHFD-TAC,155.25750,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
28,MHFDT2,154.37000,,0.00000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
29,MHFDT3,154.01000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
30,MRSH-PW,453.90000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
31,MARSPD,154.65000,,0.00000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
32,,153.05000,,0.00000,DTCS,88.5,88.5,606,NN,606,DTCS->DTCS,FM,5.0,,4.0W,,,,,
33,KI4DNY,442.72500,+,5.00000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
34,KI4DNY,442.72500,+,5.00000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
35,K4MFD,147.18000,+,0.60000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
36,K4MFD,145.15000,-,0.60000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
37,K4MFD,145.15000,-,0.60000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
38,K4MFD,444.03750,+,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
39,K4MFD,444.67500,+,5.00000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
40,K4MFD,444.20000,+,5.00000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
41,K4MFD,444.03750,+,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
42,KF4TLA,443.27500,+,5.00000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
43,KF4TLA,443.27500,+,5.00000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
44,WA4TOG,442.55000,+,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
45,K4HCU,442.65000,+,5.00000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
46,BCEMSDP,460.16250,,0.00000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
47,BCEMSMD,463.10000,,0.00000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
48,AFD-DIS,158.82000,,0.00000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
49,AVL625,462.62500,,0.00000,TSQL,186.2,186.2,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
50,HYWDOPS,462.70000,,0.00000,Cross,88.5,123.0,023,NN,023,->Tone,FM,5.0,,4.0W,,,,,
51,FLCR700,462.70000,,0.00000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
52,HYWD600,462.60000,,0.00000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
53,AC4JK,442.42500,+,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
54,W4MOE,146.91000,-,0.60000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
127,,435.72500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,4.0W,,,,,
999,,145.67500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,,,,,
